no,nama,image,stage,tipe,attr,memory,equipSlot,HP,SP,ATK,DEF,INT,SPD
242,Kerpymon (Blk),http://digidb.io/images/dot/dot774.png,Mega,Virus,Dark,20,3,1290,188,94,94,223,153
243,Kerpymon (Good),http://digidb.io/images/dot/dot735.png,Mega,Vaccine,Light,20,2,1290,188,94,104,208,158
244,Goldramon,http://digidb.io/images/dot/dot048.png,Mega,Vaccine,Light,20,2,1680,99,193,149,134,138
245,SaberLeomon,http://digidb.io/images/dot/dot424.png,Mega,Data,Wind,18,3,1680,99,228,104,84,163
246,Sakuyamon,http://digidb.io/images/dot/dot425.png,Mega,Data,Light,18,3,990,178,94,114,188,173
247,Jesmon,http://digidb.io/images/dot/dot749.png,Mega,Data,Neutral,22,2,1480,119,198,149,114,168
248,ShineGreymon,http://digidb.io/images/dot/dot094.png,Mega,Vaccine,Light,20,2,1880,114,203,109,84,158
249,ShineGreymon BM,http://digidb.io/images/dot/dot776.png,Mega,Vaccine,Fire,22,2,1980,114,228,104,84,168
250,Justimon,http://digidb.io/images/dot/dot737.png,Mega,Vaccine,Light,18,3,1530,99,193,158,99,144
251,Kentaurosmon,http://digidb.io/images/dot/dot086.png,Mega,Vaccine,Light,22,1,1140,153,139,154,154,183
252,Slayerdramon,http://digidb.io/images/dot/dot213.png,Mega,Vaccine,Wind,20,2,1530,148,169,129,129,153
253,Seraphimon,http://digidb.io/images/dot/dot315.png,Mega,Vaccine,Light,20,2,1480,162,94,144,198,135
254,MegaGargomon,http://digidb.io/images/dot/dot741.png,Mega,Vaccine,Electric,18,3,1430,132,149,139,119,144
255,Darkdramon,http://digidb.io/images/dot/dot771.png,Mega,Virus,Electric,18,3,1580,94,188,148,99,139
256,TigerVespamon,http://digidb.io/images/dot/dot745.png,Mega,Virus,Electric,18,3,1630,104,193,114,99,173
257,Titamon,http://digidb.io/images/dot/dot440.png,Mega,Virus,Earth,18,3,1930,99,183,128,114,129
258,TyrantKabuterimon,http://digidb.io/images/dot/dot128.png,Mega,Virus,Plant,20,2,1530,108,174,164,123,159
259,Dianamon,http://digidb.io/images/dot/dot733.png,Mega,Data,Water,20,3,790,178,89,154,198,183
260,Diaboromon,http://digidb.io/images/dot/dot632.png,Mega,Free,Dark,20,2,1680,114,243,104,79,173
261,Creepymon,http://digidb.io/images/dot/dot038.png,Mega,Virus,Dark,22,2,1440,133,183,114,183,140
262,Gallantmon,http://digidb.io/images/dot/dot126.png,Mega,Virus,Light,22,1,1480,148,149,154,149,148
263,Dynasmon,http://digidb.io/images/dot/dot738.png,Mega,Data,Wind,22,2,1680,114,213,129,94,178
264,Durandamon,http://digidb.io/images/dot/dot700.png,Mega,Vaccine,Neutral,20,2,1660,92,193,175,95,135
265,Leopardmon,http://digidb.io/images/dot/dot739.png,Mega,Data,Light,22,3,990,188,124,114,183,188
266,Leopardmon LM,http://digidb.io/images/dot/dot743.png,Mega,Data,Earth,25,3,1290,153,159,129,139,218
267,Dorugoramon,http://digidb.io/images/dot/dot019.png,Mega,Data,Dark,18,2,1640,91,225,134,88,145
268,Neptunemon,http://digidb.io/images/dot/dot075.png,Mega,Vaccine,Water,20,2,1440,137,158,130,173,139
269,HiAndromon,http://digidb.io/images/dot/dot426.png,Mega,Vaccine,Electric,18,3,1190,114,153,178,138,124
270,PileVolcamon,http://digidb.io/images/dot/dot060.png,Mega,Data,Fire,18,2,1330,109,173,163,111,137
271,Barbamon,http://digidb.io/images/dot/dot036.png,Mega,Virus,Dark,22,2,1330,184,84,129,233,133
272,BanchoLeomon,http://digidb.io/images/dot/dot049.png,Mega,Vaccine,Earth,18,3,1630,84,193,188,80,138
273,Piedmon,http://digidb.io/images/dot/dot427.png,Mega,Virus,Dark,18,3,890,178,129,104,183,163
274,Puppetmon,http://digidb.io/images/dot/dot428.png,Mega,Virus,Plant,18,3,1140,114,163,163,148,124
275,PlatinumNumemon,http://digidb.io/images/dot/dot069.png,Mega,Virus,Neutral,16,3,450,132,99,999,50,144
276,BlackWarGreymon,http://digidb.io/images/dot/dot175.png,Mega,Virus,Fire,20,2,1730,93,183,178,89,140
277,PrinceMamemon,http://digidb.io/images/dot/dot429.png,Mega,Data,Neutral,16,3,1630,137,104,173,109,130
278,Breakdramon,http://digidb.io/images/dot/dot214.png,Mega,Virus,Earth,20,2,1880,89,213,168,94,129
279,Plesiomon,http://digidb.io/images/dot/dot450.png,Mega,Data,Water,18,3,1680,153,74,114,188,129
280,HerculesKabuterimon,http://digidb.io/images/dot/dot306.png,Mega,Vaccine,Plant,18,3,1680,128,114,168,124,124
281,Beelzemon,http://digidb.io/images/dot/dot035.png,Mega,Virus,Dark,22,1,1680,114,228,119,99,168
282,Beelzemon BM,http://digidb.io/images/dot/dot775.png,Mega,Virus,Dark,25,2,1680,114,238,124,104,178
283,Belphemon SM,http://digidb.io/images/dot/dot439.png,Mega,Virus,Dark,22,1,1730,178,89,114,203,139
284,Hououmon,http://digidb.io/images/dot/dot310.png,Mega,Vaccine,Fire,18,3,1390,173,84,99,193,158
285,Magnadramon,http://digidb.io/images/dot/dot453.png,Mega,Vaccine,Light,20,2,1880,168,89,124,183,129
286,Boltmon,http://digidb.io/images/dot/dot431.png,Mega,Data,Electric,18,3,1580,83,198,163,84,140
287,MagnaGarurumon,http://digidb.io/images/dot/dot678.png,Mega,Free,Light,18,3,1480,122,175,104,114,183
288,MagnaGarurumon (SV),http://digidb.io/images/dot/dot675.png,Mega,Free,Light,18,3,1020,138,163,107,119,218
289,Mastemon,http://digidb.io/images/dot/dot748.png,Mega,Vaccine,Neutral,22,1,1340,144,173,134,173,149
290,MarineAngemon,http://digidb.io/images/dot/dot024.png,Mega,Vaccine,Water,18,3,1190,198,64,89,203,153
291,Minervamon,http://digidb.io/images/dot/dot747.png,Mega,Virus,Neutral,20,3,1580,114,208,114,119,168
292,MirageGaogamon,http://digidb.io/images/dot/dot095.png,Mega,Data,Wind,18,3,1480,114,183,114,109,178
293,MirageGaogamon BM,http://digidb.io/images/dot/dot777.png,Mega,Data,Light,20,3,1440,124,178,104,158,174
294,Machinedramon,http://digidb.io/images/dot/dot385.png,Mega,Virus,Electric,18,3,1240,114,173,183,128,124
295,Megidramon,http://digidb.io/images/dot/dot047.png,Mega,Virus,Fire,20,2,1690,120,199,132,109,153
296,MetalEtemon,http://digidb.io/images/dot/dot312.png,Mega,Virus,Earth,18,3,1630,128,134,188,89,124
297,MetalGarurumon,http://digidb.io/images/dot/dot135.png,Mega,Data,Water,18,3,1140,143,154,129,129,178
298,MetalGarurumon (Blk),http://digidb.io/images/dot/dot182.png,Mega,Virus,Electric,18,3,1190,128,163,173,133,130
299,MetalSeadramon,http://digidb.io/images/dot/dot434.png,Mega,Data,Water,18,3,1430,148,99,139,168,129
300,Merukimon,http://digidb.io/images/dot/dot080.png,Mega,Virus,Wind,20,2,1320,115,178,138,141,177
301,RustTyranomon,http://digidb.io/images/dot/dot383.png,Mega,Virus,Electric,18,3,1680,83,218,163,74,140
302,Leviamon,http://digidb.io/images/dot/dot037.png,Mega,Virus,Water,22,1,1730,120,168,158,144,133
303,Lilithmon,http://digidb.io/images/dot/dot034.png,Mega,Virus,Dark,22,2,940,203,99,104,223,173
304,Ravemon,http://digidb.io/images/dot/dot740.png,Mega,Vaccine,Wind,18,3,1040,143,139,119,139,203
305,Ravemon BM,http://digidb.io/images/dot/dot778.png,Mega,Vaccine,Wind,20,2,1040,133,149,139,144,213
306,Crusadermon,http://digidb.io/images/dot/dot703.png,Mega,Virus,Dark,22,2,1240,153,144,139,144,193
307,Rosemon,http://digidb.io/images/dot/dot057.png,Mega,Data,Plant,18,3,1330,147,144,129,149,144
308,Rosemon BM,http://digidb.io/images/dot/dot779.png,Mega,Data,Plant,20,3,1480,143,149,139,159,143
309,Lotosmon,http://digidb.io/images/dot/dot742.png,Mega,Data,Plant,18,3,940,188,74,109,213,168
310,Armageddemon,http://digidb.io/images/dot/dot106.png,Ultra,Free,Dark,25,1,1760,114,255,133,84,164
311,Arcadiamon Ultra,http://digidb.io/images/dot/dot067.png,Ultra,Virus,Dark,25,2,1510,158,204,109,134,170
312,Alphamon Ouryuken,http://digidb.io/images/dot/dot766.png,Ultra,Vaccine,Neutral,25,1,1530,133,179,149,159,153
313,Imperialdramon PM,http://digidb.io/images/dot/dot420.png,Ultra,Vaccine,Light,25,2,1530,158,154,154,154,153
314,Examon,http://digidb.io/images/dot/dot215.png,Ultra,Data,Wind,25,2,1730,148,179,139,134,153
315,Omnimon,http://digidb.io/images/dot/dot088.png,Ultra,Vaccine,Light,25,2,1680,104,208,168,134,144
316,Omnimon Zwart,http://digidb.io/images/dot/dot757.png,Ultra,Vaccine,Dark,25,2,1490,139,153,193,158,134
317,Chaosmon,http://digidb.io/images/dot/dot772.png,Ultra,Vaccine,Neutral,25,3,1080,129,318,94,89,188
318,Chaosmon VA,http://digidb.io/images/dot/dot118.png,Ultra,Vaccine,Light,25,3,790,138,254,84,204,168
319,Susanomon,http://digidb.io/images/dot/dot104.png,Ultra,Vaccine,Light,25,1,1630,129,183,158,149,149
320,Gallantmon CM,http://digidb.io/images/dot/dot105.png,Ultra,Virus,Light,25,2,1480,139,203,124,139,173
321,Belphemon RM,http://digidb.io/images/dot/dot040.png,Ultra,Virus,Dark,25,2,1780,84,247,168,109,140
322,Lucemon SM,http://digidb.io/images/dot/dot435.png,Ultra,Virus,Dark,25,2,1490,173,89,124,233,158
323,Flamedramon,http://digidb.io/images/dot/dot716.png,Armor,Free,Fire,8,3,1130,93,119,99,89,138
324,Magnamon,http://digidb.io/images/dot/dot382.png,Armor,Free,Earth,22,2,1240,124,168,208,148,124
325,Rapidmon (Armor),http://digidb.io/images/dot/dot751.png,Armor,Vaccine,Light,18,3,1140,114,158,178,158,124
326,Shoutmon,http://digidb.io/images/dot/dot682.png,None,Free,Fire,5,1,1030,62,128,101,55,87
327,OmniShoutmon,http://digidb.io/images/dot/dot683.png,None,Free,Fire,20,2,1510,141,166,144,114,165
328,Ryudamon,http://digidb.io/images/dot/dot190.png,Rookie,Vaccine,Neutral,5,1,790,73,123,97,57,102
329,Ginryumon,http://digidb.io/images/dot/dot191.png,Champion,Vaccine,Neutral,8,1,970,86,135,114,71,118
330,Hisyaryumon,http://digidb.io/images/dot/dot192.png,Ultimate,Vaccine,Neutral,14,1,1200,89,183,157,74,123
331,Ouryumon,http://digidb.io/images/dot/dot193.png,Mega,Vaccine,Neutral,20,2,1350,104,221,179,84,158
332,Apocalymon,http://digidb.io/images/dot/dot328.png,Ultra,Free,Neutral,25,1,1890,173,89,104,183,188
333,Sistermon Blanc,http://digidb.io/images/dot/dot781.png,Rookie,Vaccine,Light,4,1,880,105,53,72,116,82
334,Sistermon B (Awake.),http://digidb.io/images/dot/dot782.png,Rookie,Vaccine,Light,18,2,1310,175,72,112,191,165
335,Sistermon Ciel,http://digidb.io/images/dot/dot783.png,Champion,Virus,Light,6,2,840,111,96,87,95,139
336,Sistermon C (Awake.),http://digidb.io/images/dot/dot784.png,Champion,Virus,Light,18,2,1550,114,188,102,114,173
337,Alphamon NX,http://digidb.io/images/dot/dot901.png,Mega,Vaccine,Neutral,6,1,980,104,109,114,109,116
338,Crusadermon NX,http://digidb.io/images/dot/dot902.png,Mega,Virus,Dark,6,1,1030,100,118,99,109,121
339,Leopardmon NX,http://digidb.io/images/dot/dot903.png,Mega,Data,Light,6,1,960,109,112,91,116,126
340,Omnimon NX,http://digidb.io/images/dot/dot904.png,Mega,Vaccine,Light,6,1,1010,98,116,111,111,113
341,Gallantmon NX,http://digidb.io/images/dot/dot905.png,Mega,Virus,Light,6,1,1070,93,122,109,111,108
